# 070712 hashmap of PDBv2 naming to PDBv3 naming scheme 
 CE' 232,C14' 232
 CF' 232,C15' 232
 CG' 232,C16' 232
 CH' 232,C17' 232
 CJ' 232,C19' 232
 CA' 232,C10' 232
 OA' 232,O10' 232
 CI' 232,C18' 232
 CK' 232,C20' 232
 NL' 232,N21' 232
 CM' 232,C22' 232
 CN' 232,C23' 232
 CO' 232,C24' 232
 CP' 232,C25' 232
 CQ' 232,C26' 232
 CR' 232,C27' 232
CL1  23D,CLAR 23D
 OXT 23F, O   23F
 O   23F, OXT 23F
 O5' 23T, O5* 23T
 C5' 23T, C5* 23T
 C4' 23T, C4* 23T
 O4' 23T, O4* 23T
 C1' 23T, C1* 23T
 C2' 23T, C2* 23T
 C3' 23T, C3* 23T
 O5' 25A, O5* 25A
 C5' 25A, C5* 25A
 C4' 25A, C4* 25A
 O4' 25A, O4* 25A
 C1' 25A, C1* 25A
 C2' 25A, C2* 25A
 O2' 25A, O2* 25A
 C3' 25A, C3* 25A
 O3' 25A, O3* 25A
 OBP 25A,O11P 25A
 OCP 25A,O12P 25A
 OF' 25A,O15* 25A
 CF' 25A,C15* 25A
 CE' 25A,C14* 25A
 OE' 25A,O14* 25A
 CB' 25A,C11* 25A
 CC' 25A,C12* 25A
 OC' 25A,O12* 25A
 CD' 25A,C13* 25A
 OD' 25A,O13* 25A
 OLP 25A,O21P 25A
 OMP 25A,O22P 25A
 OP' 25A,O25* 25A
 CP' 25A,C25* 25A
 CO' 25A,C24* 25A
 OO' 25A,O24* 25A
 CL' 25A,C21* 25A
 CM' 25A,C22* 25A
 OM' 25A,O22* 25A
 CN' 25A,C23* 25A
 ON' 25A,O23* 25A
 C1' 26A, C1* 26A
 O4' 26A, O4* 26A
 C4' 26A, C4* 26A
 C5' 26A, C5* 26A
 O5' 26A, O5* 26A
 C2' 26A, C2* 26A
 O2' 26A, O2* 26A
 C3' 26A, C3* 26A
 O3' 26A, O3* 26A
 C9' 2AA, C9* 2AA
 C8' 2AA, C8* 2AA
 C7' 2AA, C7* 2AA
 C6' 2AA, C6* 2AA
 C5' 2AA, C5* 2AA
 C4' 2AA, C4* 2AA
 C3' 2AA, C3* 2AA
 C2' 2AA, C2* 2AA
 O3' 2AA, O3* 2AA
 O4' 2AA, O4* 2AA
 C1' 2AA, C1* 2AA
 O2' 2AA, O2* 2AA
 O1' 2AA, O1* 2AA
 O5' 2AD, O5* 2AD
 C5' 2AD, C5* 2AD
 C4' 2AD, C4* 2AD
 O4' 2AD, O4* 2AD
 C3' 2AD, C3* 2AD
 O3' 2AD, O3* 2AD
 C2' 2AD, C2* 2AD
 C1' 2AD, C1* 2AD
 C5' 2AM, C5* 2AM
 O5' 2AM, O5* 2AM
 C4' 2AM, C4* 2AM
 O4' 2AM, O4* 2AM
 C3' 2AM, C3* 2AM
 O3' 2AM, O3* 2AM
 C2' 2AM, C2* 2AM
 O2' 2AM, O2* 2AM
 C1' 2AM, C1* 2AM
 OP1 2AR, O1P 2AR
 OP2 2AR, O2P 2AR
 OP3 2AR, O3P 2AR
 O5' 2AR, O5* 2AR
 C5' 2AR, C5* 2AR
 C4' 2AR, C4* 2AR
 CX' 2AR, CX* 2AR
 C1' 2AR, C1* 2AR
 C2' 2AR, C2* 2AR
 C3' 2AR, C3* 2AR
 O3' 2AR, O3* 2AR
 OP1 2AT, O1P 2AT
 OP2 2AT, O2P 2AT
 O5' 2AT, O5* 2AT
 C5' 2AT, C5* 2AT
 C4' 2AT, C4* 2AT
 O4' 2AT, O4* 2AT
 C1' 2AT, C1* 2AT
 C2' 2AT, C2* 2AT
 O2' 2AT, O2* 2AT
 C3' 2AT, C3* 2AT
 O3' 2AT, O3* 2AT
 OP3 2AT, O3P 2AT
 OP3 2AU, O3P 2AU
 OP1 2AU, O1P 2AU
 O5' 2AU, O5* 2AU
