# 070712 hashmap of PDBv2 naming to PDBv3 naming scheme 
HZ73 D76,3HZ7 D76
HZ31 D76,1HZ3 D76
HZ32 D76,2HZ3 D76
HZ41 D76,1HZ4 D76
HZ42 D76,2HZ4 D76
HZ51 D76,1HZ5 D76
HZ52 D76,2HZ5 D76
HP31 D76,1HP3 D76
HP32 D76,2HP3 D76
HP41 D76,1HP4 D76
HP42 D76,2HP4 D76
 HP2 D76, HP2 D76
HC21 D76,1HC2 D76
HC22 D76,2HC2 D76
HP11 D76,1HP1 D76
HP12 D76,2HP1 D76
 HN2 D76, HN2 D76
 HN3 D76, HN3 D76
 HN5 D76, HN5 D76
 H10 D76, H10 D76
 HN8 D76, HN8 D76
 HN7 D76, HN7 D76
 HN1 D7G, HN1 D7G
 H3  D7G, H3  D7G
 H41 D7G,1H4  D7G
 H42 D7G,2H4  D7G
 H51 D7G,1H5  D7G
 H52 D7G,2H5  D7G
 H6  D7G, H6  D7G
 HN2 D7G, HN2 D7G
 H8  D7G, H8  D7G
 HN3 D7G, HN3 D7G
H101 D7G,1H10 D7G
H102 D7G,2H10 D7G
H111 D7G,1H11 D7G
H112 D7G,2H11 D7G
H121 D7G,1H12 D7G
H122 D7G,2H12 D7G
H131 D7G,1H13 D7G
H132 D7G,2H13 D7G
H141 D7G,1H14 D7G
H142 D7G,2H14 D7G
H143 D7G,3H14 D7G
H151 D7G,1H15 D7G
H152 D7G,2H15 D7G
 H16 D7G, H16 D7G
H171 D7G,1H17 D7G
H172 D7G,2H17 D7G
H173 D7G,3H17 D7G
H181 D7G,1H18 D7G
H182 D7G,2H18 D7G
H183 D7G,3H18 D7G
H191 D7G,1H19 D7G
H192 D7G,2H19 D7G
 H21 D7G, H21 D7G
 H22 D7G, H22 D7G
 H23 D7G, H23 D7G
 H24 D7G, H24 D7G
 H25 D7G, H25 D7G
H1'1 D7P,1H1' D7P
H1'2 D7P,2H1' D7P
HN'1 D7P,1HN' D7P
HN'2 D7P,2HN' D7P
 HA' D7P, HA' D7P
HB'1 D7P,1HB' D7P
HB'2 D7P,2HB' D7P
 HD1 D7P, HD1 D7P
 HE1 D7P, HE1 D7P
 HZ' D7P, HZ' D7P
 HE2 D7P, HE2 D7P
 HD2 D7P, HD2 D7P
 HN  D7P, HN  D7P
 HA  D7P, HA  D7P
 HB1 D7P,1HB  D7P
 HB2 D7P,2HB  D7P
 HG1 D7P,1HG  D7P
 HG2 D7P,2HG  D7P
HD1A D7P,1HD  D7P
HD2A D7P,2HD  D7P
 HNE D7P, HNE D7P
 HH1 D7P, HH1 D7P
 HH2 D7P, HH2 D7P
 HO2 D7P, HO2 D7P
 HO3 D7P, HO3 D7P
 H18 D91, H18 D91
H191 D91,1H19 D91
H192 D91,2H19 D91
H161 D91,1H16 D91
H162 D91,2H16 D91
H151 D91,1H15 D91
H152 D91,2H15 D91
 H9  D91, H9  D91
 H5  D91, H5  D91
 HN7 D91, HN7 D91
 H2  D91, H2  D91
 H1  D91, H1  D91
 H24 D91, H24 D91
 H26 D91, H26 D91
 H29 D91, H29 D91
 H30 D91, H30 D91
 H32 D91, H32 D91
 H33 D91, H33 D91
 H71 D91,1H7  D91
 H72 D91,2H7  D91
 H10 D91, H10 D91
H111 D91,1H11 D91
H112 D91,2H11 D91
H113 D91,3H11 D91
H121 D91,1H12 D91
H122 D91,2H12 D91
H123 D91,3H12 D91
 H17 D92, H17 D92
 H18 D92, H18 D92
HN11 D92,HN11 D92
 H15 D92, H15 D92
 H14 D92, H14 D92
 HN7 D92, HN7 D92
 H1  D92, H1  D92
 H61 D92,1H6  D92
 H62 D92,2H6  D92
 H51 D92,1H5  D92
 H52 D92,2H5  D92
 H41 D92,1H4  D92
 H42 D92,2H4  D92
 H31 D92,1H3  D92
 H32 D92,2H3  D92
 H2  D92, H2  D92
 HN8 D92, HN8 D92
H261 D92,1H26 D92
H262 D92,2H26 D92
H301 D92,1H30 D92
H302 D92,2H30 D92
H303 D92,3H30 D92
H281 D92,1H28 D92
H282 D92,2H28 D92
H291 D92,1H29 D92
H292 D92,2H29 D92
 H17 D93, H17 D93
 H18 D93, H18 D93
HN11 D93,HN11 D93
 H15 D93, H15 D93
 H14 D93, H14 D93
 HN7 D93, HN7 D93
 H1  D93, H1  D93
 H61 D93,1H6  D93
 H62 D93,2H6  D93
 H51 D93,1H5  D93
 H52 D93,2H5  D93
 H41 D93,1H4  D93
 H42 D93,2H4  D93
 H31 D93,1H3  D93
 H32 D93,2H3  D93
 H2  D93, H2  D93
 HN8 D93, HN8 D93
H261 D93,1H26 D93
H262 D93,2H26 D93
H301 D93,1H30 D93
H302 D93,2H30 D93
H303 D93,3H30 D93
H281 D93,1H28 D93
H282 D93,2H28 D93
H291 D93,1H29 D93
H292 D93,2H29 D93
HAC1 D9G,1HAC D9G
HAC2 D9G,2HAC D9G
HAC3 D9G,3HAC D9G
HAD1 D9G,1HAD D9G
HAD2 D9G,2HAD D9G
HAE1 D9G,1HAE D9G
HAE2 D9G,2HAE D9G
HAF1 D9G,1HAF D9G
HAF2 D9G,2HAF D9G
HAG1 D9G,1HAG D9G
HAG2 D9G,2HAG D9G
HAH1 D9G,1HAH D9G
HAH2 D9G,2HAH D9G
HAI1 D9G,1HAI D9G
HAI2 D9G,2HAI D9G
HAJ1 D9G,1HAJ D9G
HAJ2 D9G,2HAJ D9G
HAK1 D9G,1HAK D9G
HAK2 D9G,2HAK D9G
HAL1 D9G,1HAL D9G
HAL2 D9G,2HAL D9G
HAM1 D9G,1HAM D9G
HAM2 D9G,2HAM D9G
HAN1 D9G,1HAN D9G
HAN2 D9G,2HAN D9G
HAS1 D9G,1HAS D9G
HAS2 D9G,2HAS D9G
HAS3 D9G,3HAS D9G
HAA1 D9G,1HAA D9G
HAA2 D9G,2HAA D9G
HAA3 D9G,3HAA D9G
HAP1 D9G,1HAP D9G
HAP2 D9G,2HAP D9G
HOP3  DA,3HOP  DA
HOP2  DA,2HOP  DA
 H5'  DA,1H5*  DA
H5''  DA,2H5*  DA
 H4'  DA, H4*  DA
 H3'  DA, H3*  DA
HO3'  DA,H3T   DA
 H2'  DA,1H2*  DA
H2''  DA,2H2*  DA
 H1'  DA, H1*  DA
 H8   DA, H8   DA
 H61  DA,1H6   DA
 H62  DA,2H6   DA
 H2   DA, H2   DA
HN21 DA1,1HN2 DA1
HN22 DA1,2HN2 DA1
 H2  DA1, H2  DA1
 H3  DA1, H3  DA1
HN31 DA1,1HN3 DA1
HN32 DA1,2HN3 DA1
 H4  DA1, H4  DA1
HC11 DA2,1HC1 DA2
HC12 DA2,2HC1 DA2
HC13 DA2,3HC1 DA2
HC21 DA2,1HC2 DA2
HC22 DA2,2HC2 DA2
HC23 DA2,3HC2 DA2
 HN1 DA2,1HN  DA2
 HN2 DA2,2HN  DA2
 HCA DA2, HCA DA2
HCB1 DA2,1HCB DA2
HCB2 DA2,2HCB DA2
HCG1 DA2,1HCG DA2
HCG2 DA2,2HCG DA2
HCD1 DA2,1HCD DA2
HCD2 DA2,2HCD DA2
 HNE DA2, HNE DA2
HNH2 DA2,HNH2 DA2
HOA2 DA2,HOA2 DA2
HN11 DA3,1HN1 DA3
HN12 DA3,2HN1 DA3
 H2  DA3, H2  DA3
 HO2 DA3, HO2 DA3
 H31 DA3,1H3  DA3
 H32 DA3,2H3  DA3
 H4  DA3, H4  DA3
 H51 DA3,1H5  DA3
 H52 DA3,2H5  DA3
 HO5 DA3, HO5 DA3
 H1  DA5, H1  DA5
 H2  DA5, H2  DA5
 H3  DA5, H3  DA5
 H6  DA5, H6  DA5
 H7  DA5, H7  DA5
 H8  DA5, H8  DA5
HN91 DA5,1HN9 DA5
HN92 DA5,2HN9 DA5
HN93 DA5,3HN9 DA5
 H10 DA5, H10 DA5
HND1 DA5,1HND DA5
HD21 DA5,1HD2 DA5
HD22 DA5,2HD2 DA5
HD31 DA5,1HD3 DA5
HD32 DA5,2HD3 DA5
HD71 DA5,1HD7 DA5
HD72 DA5,2HD7 DA5
HD73 DA5,3HD7 DA5
HD81 DA5,1HD8 DA5
HD82 DA5,2HD8 DA5
HD83 DA5,3HD8 DA5
 H1  DA6, H1  DA6
 H2  DA6, H2  DA6
 H3  DA6, H3  DA6
 H5  DA6, H5  DA6
 H7  DA6, H7  DA6
 H8  DA6, H8  DA6
HN91 DA6,1HN9 DA6
HN92 DA6,2HN9 DA6
HN93 DA6,3HN9 DA6
 H10 DA6, H10 DA6
HND1 DA6,1HND DA6
HD21 DA6,1HD2 DA6
HD22 DA6,2HD2 DA6
HD31 DA6,1HD3 DA6
HD32 DA6,2HD3 DA6
HD71 DA6,1HD7 DA6
HD72 DA6,2HD7 DA6
HD73 DA6,3HD7 DA6
HD81 DA6,1HD8 DA6
HD82 DA6,2HD8 DA6
HD83 DA6,3HD8 DA6
 H8  DA7, H8  DA7
 H7  DA7, H7  DA7
 H6  DA7, H6  DA7
 H3  DA7, H3  DA7
 H2  DA7, H2  DA7
 H1  DA7, H1  DA7
HN91 DA7,1HN9 DA7
HN92 DA7,2HN9 DA7
 H16 DA7, H16 DA7
H171 DA7,1H17 DA7
H172 DA7,2H17 DA7
H181 DA7,1H18 DA7
H182 DA7,2H18 DA7
H201 DA7,1H20 DA7
H202 DA7,2H20 DA7
H203 DA7,3H20 DA7
H211 DA7,1H21 DA7
H212 DA7,2H21 DA7
H213 DA7,3H21 DA7
HCA1 DAA,1HCA DAA
HCA2 DAA,2HCA DAA
 HI2 DAA, HI2 DAA
HCB1 DAA,1HCB DAA
HCB2 DAA,2HCB DAA
HCG1 DAA,1HCG DAA
HCG2 DAA,2HCG DAA
HCD1 DAA,1HCD DAA
HCD2 DAA,2HCD DAA
HCE1 DAA,1HCE DAA
HCE2 DAA,2HCE DAA
 HCZ DAA, HCZ DAA
 HCH DAA, HCH DAA
HCS1 DAA,1HCS DAA
HCS2 DAA,2HCS DAA
HCS3 DAA,3HCS DAA
 HN1 DAA, HN1 DAA
HN21 DAA,1HN2 DAA
HN22 DAA,2HN2 DAA
 H   DAB,1HN  DAB
 H2  DAB,2HN  DAB
 HA  DAB, HA  DAB
 HB2 DAB,1HB  DAB
 HB3 DAB,2HB  DAB
 HG2 DAB,1HG  DAB
 HG3 DAB,2HG  DAB
 HD1 DAB,1HD  DAB
 HD2 DAB,2HD  DAB
 HXT DAB, HXT DAB
 H2  DAC, H2  DAC
 H3  DAC, H3  DAC
 H41 DAC,1H4  DAC
 H42 DAC,2H4  DAC
 H51 DAC,1H5  DAC
 H52 DAC,2H5  DAC
 H61 DAC,1H6  DAC
 H62 DAC,2H6  DAC
 H71 DAC,1H7  DAC
 H72 DAC,2H7  DAC
 H81 DAC,1H8  DAC
 H82 DAC,2H8  DAC
 H91 DAC,1H9  DAC
 H92 DAC,2H9  DAC
H101 DAC,1H10 DAC
H102 DAC,2H10 DAC
H103 DAC,3H10 DAC
H1'1 DAC,1H1' DAC
H1'2 DAC,2H1' DAC
H2'1 DAC,1H2' DAC
H2'2 DAC,2H2' DAC
 HN' DAC, HN' DAC
H5'1 DAC,1H5' DAC
H5'2 DAC,2H5' DAC
H5'3 DAC,3H5' DAC
HOG2 DAD,2HOG DAD
HOG3 DAD,3HOG DAD
HOB2 DAD,2HOB DAD
HOA2 DAD,2HOA DAD
H5'1 DAD,1H5* DAD
H5'2 DAD,2H5* DAD
 H4' DAD, H4* DAD
H3'1 DAD,1H3* DAD
H3'2 DAD,2H3* DAD
H2'1 DAD,1H2* DAD
H2'2 DAD,2H2* DAD
 H1' DAD, H1* DAD
 H8  DAD, H8  DAD
HN61 DAD,1HN6 DAD
HN62 DAD,2HN6 DAD
 H2  DAD, H2  DAD
HOB2 DAE,2HOB DAE
HOA2 DAE,2HOA DAE
HNA1 DAE,1HNA DAE
HA21 DAE,1HA2 DAE
HA22 DAE,2HA2 DAE
HA11 DAE,1HA1 DAE
HA12 DAE,2HA1 DAE
 H6  DAE, H6  DAE
 H5  DAE, H5  DAE
 H3  DAE, H3  DAE
 H11 DAF,1H1  DAF
 H12 DAF,2H1  DAF
 H2  DAF, H2  DAF
 H3  DAF, H3  DAF
 H4  DAF, H4  DAF
 H5  DAF, H5  DAF
 H61 DAF,1H6  DAF
 H62 DAF,2H6  DAF
 H63 DAF,3H6  DAF
 HO2 DAF, HO2 DAF
 HO3 DAF, HO3 DAF
 HN4 DAF, HN4 DAF
 H1H DAF, H1H DAF
 H2H DAF, H2H DAF
 H3H DAF, H3H DAF
 H4H DAF, H4H DAF
 H6H DAF, H6H DAF
H7H1 DAF,1H7H DAF
H7H2 DAF,2H7H DAF
HO2' DAF,'HO2 DAF
HO3' DAF,'HO3 DAF
HO4' DAF,'HO4 DAF
 HO7 DAF, HO7 DAF
 H1  DAG, H1  DAG
 H2  DAG, H2  DAG
 H3  DAG, H3  DAG
 H4  DAG, H4  DAG
 H5  DAG, H5  DAG
 H61 DAG,1H6  DAG
 H62 DAG,2H6  DAG
 H63 DAG,3H6  DAG
 HO1 DAG, HO1 DAG
 HO2 DAG, HO2 DAG
 HO3 DAG, HO3 DAG
HN41 DAG,1HN4 DAG
HN42 DAG,2HN4 DAG
 H   DAH, H   DAH
 H2  DAH, HN2 DAH
 HA  DAH, HA  DAH
 HB2 DAH,1HB  DAH
 HB3 DAH,2HB  DAH
 HD1 DAH, HD1 DAH
 HD2 DAH, HD2 DAH
 HE1 DAH, HE1 DAH
 HE2 DAH, HOE DAH
 HZ  DAH, HOZ DAH
 HXT DAH, HXT DAH
 H28 DAI, H28 DAI
 H13 DAI, H13 DAI
 H17 DAI, H17 DAI
 H18 DAI, H18 DAI
 H19 DAI, H19 DAI
 H14 DAI, H14 DAI
 H9  DAI, H9  DAI
 H8  DAI, H8  DAI
 H7  DAI, H7  DAI
 H6  DAI, H6  DAI
 H27 DAI, H27 DAI
 H51 DAI,1H5  DAI
 H52 DAI,2H5  DAI
 HO4 DAI, HO4 DAI
H211 DAI,1H21 DAI
H212 DAI,2H21 DAI
H201 DAI,1H20 DAI
H202 DAI,2H20 DAI
 H31 DAI,1H3  DAI
 H32 DAI,2H3  DAI
 H21 DAI,1H2  DAI
 H22 DAI,2H2  DAI
 H11 DAI,1H1  DAI
 H12 DAI,2H1  DAI
H13A DAI,3H1  DAI
 H11 DAJ,1H1  DAJ
 H12 DAJ,2H1  DAJ
 H2  DAJ, H2  DAJ
 HN1 DAJ,1HN  DAJ
 HN2 DAJ,2HN  DAJ
 HN3 DAJ,3HN  DAJ
 H31 DAJ,1H3  DAJ
 H32 DAJ,2H3  DAJ
H131 DAJ,1H13 DAJ
H132 DAJ,2H13 DAJ
H133 DAJ,3H13 DAJ
 HN4 DAJ,4HN  DAJ
 HN5 DAJ,5HN  DAJ
H101 DAJ,1H10 DAJ
H102 DAJ,2H10 DAJ
H103 DAJ,3H10 DAJ
H22A DAK,2H2  DAK
HN61 DAK,1HN6 DAK
HN62 DAK,2HN6 DAK
 H81 DAK,1H8  DAK
H1'1 DAK,1H1' DAK
H2'1 DAK,1H2' DAK
HO21 DAK,1HO2 DAK
H3'1 DAK,1H3' DAK
 H32 DAK, H32 DAK
 H33 DAK, H33 DAK
H4'1 DAK,1H4' DAK
H5'1 DAK,1H5' DAK
H5'2 DAK,2H5' DAK
 H12 DAK, H12 DAK
 H22 DAK, H22 DAK
HP91 DAK,1HP9 DAK
HP92 DAK,2HP9 DAK
HPA1 DAK,1HPA DAK
HPA2 DAK,2HPA DAK
HPA3 DAK,3HPA DAK
HPB1 DAK,1HPB DAK
HPB2 DAK,2HPB DAK
HPB3 DAK,3HPB DAK
HP71 DAK,1HP7 DAK
HO31 DAK,1HO3 DAK
HN21 DAK,1HN2 DAK
HP51 DAK,1HP5 DAK
HP52 DAK,2HP5 DAK
HP41 DAK,1HP4 DAK
HP42 DAK,2HP4 DAK
HN11 DAK,1HN1 DAK
HP21 DAK,1HP2 DAK
HP22 DAK,2HP2 DAK
HP11 DAK,1HP1 DAK
HP12 DAK,2HP1 DAK
HD61 DAK,1HD6 DAK
HD51 DAK,1HD5 DAK
HD91 DAK,1HD9 DAK
HD81 DAK,1HD8 DAK
HDA1 DAK,1HDA DAK
HDA2 DAK,2HDA DAK
HDA3 DAK,3HDA DAK
HDB1 DAK,1HDB DAK
HDB2 DAK,2HDB DAK
HDB3 DAK,3HDB DAK
HD31 DAK,1HD3 DAK
HD21 DAK,1HD2 DAK
 H   DAL, H   DAL
 H2  DAL, HN2 DAL
 HA  DAL, HA  DAL
 HB1 DAL,1HB  DAL
 HB2 DAL,2HB  DAL
 HB3 DAL,3HB  DAL
 HXT DAL, HXT DAL
 H   DAM, HN  DAM
 HM1 DAM,1HM  DAM
 HM2 DAM,2HM  DAM
 HM3 DAM,3HM  DAM
 HB1 DAM,1HB  DAM
 HB2 DAM,2HB  DAM
 HXT DAM, HXT DAM
 H3  DAN, H3  DAN
 H4  DAN, H4  DAN
 H5  DAN, H5  DAN
 H6  DAN, H6  DAN
 H7  DAN, H7  DAN
 H8  DAN, H8  DAN
 H91 DAN,1H9  DAN
 H92 DAN,2H9  DAN
H111 DAN,1H11 DAN
H112 DAN,2H11 DAN
H113 DAN,3H11 DAN
 HN5 DAN, HN5 DAN
HOB1 DAN,1HOB DAN
 HO4 DAN, HO4 DAN
 HO7 DAN, HO7 DAN
 HO8 DAN, HO8 DAN
 HO9 DAN, HO9 DAN
 HO2 DAO, HO2 DAO
 H21 DAO,1H2  DAO
 H22 DAO,2H2  DAO
 H31 DAO,1H3  DAO
 H32 DAO,2H3  DAO
 H41 DAO,1H4  DAO
 H42 DAO,2H4  DAO
 H51 DAO,1H5  DAO
 H52 DAO,2H5  DAO
 H61 DAO,1H6  DAO
 H62 DAO,2H6  DAO
 H71 DAO,1H7  DAO
 H72 DAO,2H7  DAO
 H81 DAO,1H8  DAO
 H82 DAO,2H8  DAO
 H91 DAO,1H9  DAO
 H92 DAO,2H9  DAO
H101 DAO,1H10 DAO
H102 DAO,2H10 DAO
H111 DAO,1H11 DAO
H112 DAO,2H11 DAO
H121 DAO,1H12 DAO
H122 DAO,2H12 DAO
H123 DAO,3H12 DAO
 HN1 DAP, HN1 DAP
 H3  DAP, H3  DAP
 H4  DAP, H4  DAP
 H5  DAP, H5  DAP
 H7  DAP, H7  DAP
 HN2 DAP, HN2 DAP
HN31 DAP,1HN3 DAP
HN32 DAP,2HN3 DAP
 H2' DAP, H2* DAP
 H3' DAP, H3* DAP
 H5' DAP, H5* DAP
 H6' DAP, H6* DAP
 HN4 DAP, HN4 DAP
HN51 DAP,1HN5 DAP
HN52 DAP,2HN5 DAP
HOB2 DAQ,2HOB DAQ
HOA2 DAQ,2HOA DAQ
HNA1 DAQ,1HNA DAQ
HA21 DAQ,1HA2 DAQ
HA22 DAQ,2HA2 DAQ
HA11 DAQ,1HA1 DAQ
HA12 DAQ,2HA1 DAQ
 H6  DAQ, H6  DAQ
 H5  DAQ, H5  DAQ
 H3  DAQ, H3  DAQ
HA31 DAQ,1HA3 DAQ
HA32 DAQ,2HA3 DAQ
 H   DAR, H   DAR
 H2  DAR, HN2 DAR
 HA  DAR, HA  DAR
 HB2 DAR,1HB  DAR
 HB3 DAR,2HB  DAR
 HG2 DAR,1HG  DAR
 HG3 DAR,2HG  DAR
 HD2 DAR,1HD  DAR
 HD3 DAR,2HD  DAR
 HE  DAR, HNE DAR
HH11 DAR,1HH1 DAR
HH12 DAR,2HH1 DAR
HH21 DAR,1HH2 DAR
HH22 DAR,2HH2 DAR
 HXT DAR, HXT DAR
 H   DAS, H   DAS
 H2  DAS, HN2 DAS
 HA  DAS, HA  DAS
 HB2 DAS,1HB  DAS
 HB3 DAS,2HB  DAS
 HD2 DAS, HD2 DAS
 HXT DAS, HXT DAS
HOB2 DAT,2HOB DAT
HOB3 DAT,3HOB DAT
HOA2 DAT,2HOA DAT
H5'1 DAT,1H5* DAT
H5'2 DAT,2H5* DAT
 H4' DAT, H4* DAT
 H3' DAT, H3* DAT
HO3' DAT,*HO3 DAT
H2'1 DAT,1H2* DAT
H2'2 DAT,2H2* DAT
 H1' DAT, H1* DAT
 H8  DAT, H8  DAT
HN61 DAT,1HN6 DAT
HN62 DAT,2HN6 DAT
 H2  DAT, H2  DAT
 HO6 DAU, HO6 DAU
HC61 DAU,1HC6 DAU
HC62 DAU,2HC6 DAU
 HC5 DAU, HC5 DAU
 HC4 DAU, HC4 DAU
 HO4 DAU, HO4 DAU
 HC3 DAU, HC3 DAU
 HO3 DAU, HO3 DAU
 HC2 DAU, HC2 DAU
 HO2 DAU, HO2 DAU
 HC1 DAU, HC1 DAU
H4PO DAU,OH4P DAU
H2PO DAU,OH2P DAU
HC51 DAU,1HC5 DAU
HC52 DAU,2HC5 DAU
H4,C DAU,CH4, DAU
H3,C DAU,CH3, DAU
H3,O DAU,OH3, DAU
HC21 DAU,1HC2 DAU
HC22 DAU,2HC2 DAU
H1,C DAU,CH1, DAU
H61C DAU,CH61 DAU
H5A1 DAU,1H5A DAU
H5A2 DAU,2H5A DAU
H5A3 DAU,3H5A DAU
H31N DAU,NH31 DAU
HOT1 DAV,HOT1 DAV
HCB1 DAV,1HCB DAV
HCB2 DAV,2HCB DAV
HCG1 DAV,1HCG DAV
HCG2 DAV,2HCG DAV
HCD1 DAV,1HCD DAV
HCD2 DAV,2HCD DAV
 HT1 DAV, HT1 DAV
 HT2 DAV, HT2 DAV
 HT3 DAV, HT3 DAV
HCA1 DAV,1HCA DAV
HCA2 DAV,2HCA DAV
 H1  DAX, H1  DAX
 H2  DAX, H2  DAX
 H3  DAX, H3  DAX
 H6  DAX, H6  DAX
 H7  DAX, H7  DAX
 H8  DAX, H8  DAX
 H91 DAX,1H9  DAX
 H92 DAX,2H9  DAX
 H10 DAX, H10 DAX
 HD1 DAX, HD1 DAX
HD21 DAX,1HD2 DAX
HD22 DAX,2HD2 DAX
HD31 DAX,1HD3 DAX
HD32 DAX,2HD3 DAX
 HD2 DAX, HD2 DAX
HD71 DAX,1HD7 DAX
HD72 DAX,2HD7 DAX
HD73 DAX,3HD7 DAX
HD81 DAX,1HD8 DAX
HD82 DAX,2HD8 DAX
HD83 DAX,3HD8 DAX
 HAM DB0, HAM DB0
 HAN DB0, HAN DB0
 HAU DB0, HAU DB0
 HAT DB0, HAT DB0
 HAP DB0, HAP DB0
 HAO DB0, HAO DB0
 HAH DB0, HAH DB0
 HAI DB0, HAI DB0
 HAK DB0, HAK DB0
HAF1 DB0,1HAF DB0
HAF2 DB0,2HAF DB0
HAA1 DB0,1HAA DB0
HAA2 DB0,2HAA DB0
HAA3 DB0,3HAA DB0
HAC1 DB0,1HAC DB0
HAC2 DB0,2HAC DB0
 HAE DB0, HAE DB0
 HO1 DB1, HO1 DB1
 HO4 DB1, HO4 DB1
HN11 DB1,1HN1 DB1
HN12 DB1,2HN1 DB1
 H7  DB1, H7  DB1
 H10 DB1, H10 DB1
 H13 DB1, H13 DB1
 H1  DB9, H1  DB9
 H3  DB9, H3  DB9
 H4  DB9, H4  DB9
 H6  DB9, H6  DB9
 H8  DB9, H8  DB9
 H9  DB9, H9  DB9
 H10 DB9, H10 DB9
 H12 DB9, H12 DB9
H141 DB9,1H14 DB9
H142 DB9,2H14 DB9
HN15 DB9,HN15 DB9
HN17 DB9,HN17 DB9
 H21 DB9, H21 DB9
 H22 DB9, H22 DB9
 H24 DB9, H24 DB9
H261 DB9,1H26 DB9
H262 DB9,2H26 DB9
HN27 DB9,HN27 DB9
 H21 DBA,1H2  DBA
 H22 DBA,2H2  DBA
 H3' DBA, H3' DBA
 H4' DBA, H4' DBA
 H5' DBA, H5' DBA
HM21 DBA,1HM2 DBA
HM22 DBA,2HM2 DBA
HM23 DBA,3HM2 DBA
HM61 DBA,1HM6 DBA
HM62 DBA,2HM6 DBA
HM63 DBA,3HM6 DBA
 HO2 DBA, HO2 DBA
 HO4 DBC, HO4 DBC
 H5  DBC, H5  DBC
 H2  DBC, H2  DBC
 H11 DBC,1H1  DBC
 H12 DBC,2H1  DBC
 HS1 DBC, HS1 DBC
 H3  DBC, H3  DBC
 H41 DBC,1H4  DBC
 H42 DBC,2H4  DBC
 HS4 DBC, HS4 DBC
 H2  DBD, H2  DBD
 H51 DBD,1H5  DBD
 H52 DBD,2H5  DBD
 H61 DBD,1H6  DBD
 H62 DBD,2H6  DBD
 H12 DBD, H12 DBD
 H13 DBD, H13 DBD
 H17 DBD, H17 DBD
H191 DBD,1H19 DBD
H192 DBD,2H19 DBD
 H26 DBD, H26 DBD
 H27 DBD, H27 DBD
 H28 DBD, H28 DBD
 H29 DBD, H29 DBD
 H1  DBF, H1  DBF
 H5  DBF, H5  DBF
 H6  DBF, H6  DBF
 H10 DBF, H10 DBF
 H11 DBF, H11 DBF
 H12 DBF, H12 DBF
 HO2 DBF, HO2 DBF
 HO3 DBF, HO3 DBF
 H22 DBG, H22 DBG
 H21 DBG, H21 DBG
 H20 DBG, H20 DBG
 H19 DBG, H19 DBG
 H18 DBG, H18 DBG
H151 DBG,1H15 DBG
H152 DBG,2H15 DBG
 H14 DBG, H14 DBG
 H12 DBG, H12 DBG
 H11 DBG, H11 DBG
HNG3 DBG,3HNG DBG
HOG1 DBG,1HOG DBG
HNB3 DBG,3HNB DBG
HOB1 DBG,1HOB DBG
HOA1 DBG,1HOA DBG
H5'1 DBG,1H5* DBG
H5'2 DBG,2H5* DBG
 H4' DBG, H4* DBG
 H2' DBG, H2* DBG
HO2' DBG,HO2* DBG
 H3' DBG, H3* DBG
HO3' DBG,HO3* DBG
 H1' DBG, H1* DBG
HN21 DBG,1HN2 DBG
HN22 DBG,2HN2 DBG
 HN1 DBG, HN1 DBG
 H8  DBG, H8  DBG
HO17 DBH,HO17 DBH
HC15 DBH,HC15 DBH
HC12 DBH,HC12 DBH
 HO3 DBH, HO3 DBH
 HC9 DBH, HC9 DBH
 HO6 DBH, HO6 DBH
 HO2 DBI, HO2 DBI
 HO5 DBI, HO5 DBI
H5'1 DBI,1H5' DBI
H5'2 DBI,2H5' DBI
 H4' DBI, H4' DBI
 H1' DBI, H1' DBI
 H7  DBI, H7  DBI
H111 DBI,1H11 DBI
H112 DBI,2H11 DBI
H113 DBI,3H11 DBI
H101 DBI,1H10 DBI
H102 DBI,2H10 DBI
H103 DBI,3H10 DBI
 H4  DBI, H4  DBI
 H2  DBI, H2  DBI
 H2' DBI, H2' DBI
HO21 DBI,1HO2 DBI
 H3' DBI, H3' DBI
 HO3 DBI, HO3 DBI
 HC1 DBL,1HC  DBL
 HC2 DBL,2HC  DBL
 HC3 DBL,3HC  DBL
 HN2 DBL,2HN  DBL
 HA  DBL, HA  DBL
HC61 DBL,1HC6 DBL
HC62 DBL,2HC6 DBL
 HC7 DBL,7HC  DBL
 HA1 DBL,1HA  DBL
 HB2 DBL,2HB  DBL
 HD3 DBL,3HD  DBL
 HB1 DBL,1HB  DBL
 HD2 DBL,2HD  DBL
 HE3 DBL,3HE  DBL
HN01 DBL,1HN0 DBL
HC11 DBL,1HC1 DBL
HC41 DBL,1HC4 DBL
HO51 DBL,1HO5 DBL
HC71 DBL,1HC7 DBL
HC81 DBL,1HC8 DBL
HC02 DBL,2HC0 DBL
HN42 DBL,2HN4 DBL
HC52 DBL,2HC5 DBL
H281 DBL,1H28 DBL
H282 DBL,2H28 DBL
H311 DBL,1H31 DBL
H312 DBL,2H31 DBL
HN23 DBL,3HN2 DBL
HC33 DBL,3HC3 DBL
HC73 DBL,3HC7 DBL
HC83 DBL,3HC8 DBL
HO24 DBL,4HO2 DBL
HN34 DBL,4HN3 DBL
HC44 DBL,4HC4 DBL
HC84 DBL,4HC8 DBL
HC94 DBL,4HC9 DBL
HC15 DBL,5HC1 DBL
HO35 DBL,5HO3 DBL
HN45 DBL,5HN4 DBL
