#pdbId,resol,eff.resol
1t41,1.05,2.04331409825773
1ixg,1.05,1.57772808572661
1rwy,1.05,1.68714345958746
1gvv,1.05,1.53891666156617
1yqs,1.05,1.80229439724660
2aba,1.05,2.20716413524000
3sil,1.05,1.97008388067426
1jfc,1.05,2.23238045003264
1w8f,1.05,2.37881751217049
1fsg,1.05,1.83956012212291
1jcl,1.05,1.69705326952993
1kjq,1.05,2.95208099249701
1lqt,1.05,2.27518389274155
1qow,1.06,2.69597564815575
1czb,1.06,1.48195677998792
1sx2,1.06,2.06724965238457
1swy,1.06,1.81161799082477
1swz,1.06,2.16506023797009
1pmh,1.06,2.30479953020980
1n40,1.06,2.15544734739720
1sxy,1.07,2.14201054139139
1sfs,1.07,2.43581566720648
1gdu,1.07,1.86451236176142
2c9v,1.07,1.9884416246362
1v0m,1.07,1.86810079934946
1xju,1.07,1.91614685841509
2ffy,1.07,2.39601964389587
1pwg,1.07,1.93431853581619
1jbe,1.08,1.82784879642193
1koi,1.08,2.12588677801079
1ywd,1.08,2.91231188485139
1x8n,1.08,2.63012483702648
1w66,1.08,1.72387707270988
1p7v,1.08,2.7190759433084
1h11,1.08,1.84304415899571
1ocq,1.08,1.86240078721668
1uwc,1.08,1.91731689881551
1w23,1.08,2.30025187397129
1jk3,1.09,2.47714242867901
1kms,1.09,2.22241024251521
1kzk,1.09,1.98786516252775
1k5n,1.09,1.92613266143386
2car,1.09,2.64089368091252
1n62,1.09,2.62756332149684
1iro,1.1,2.08016108769766
1bq8,1.1,0.986735690705054
2igd,1.1,1.15005779391426
1igd,1.1,2.54978352626957
1t8k,1.1,2.00091008375549
1ctj,1.1,1.51775608496327
2fe5,1.1,1.7002683379521
1t2i,1.1,1.93033041094269
1sf5,1.1,2.26280030661343
1gmx,1.1,2.48816912869677
1bkr,1.1,2.90041559270762
1d4t,1.1,2.47524659369992
1zwp,1.1,2.7501995898688
1tk4,1.1,3.02717957868727
1tj9,1.1,3.29511285095835
2bax,1.1,2.80748243686323
1kf2,1.1,1.65671111242696
1kf4,1.1,2.14037827587478
1f9i,1.1,2.70850495541686
1lks,1.1,2.64946252572583
1x1k,1.1,1.39955136149445
1z2u,1.1,1.05575940591937
1a6k,1.1,2.50268390308606
2cal,1.1,2.18880603109669
1l3k,1.1,2.53389617256588
1i40,1.1,2.37412748344047
1kt6,1.1,2.99511981298507
1pm1,1.1,2.71591482302933
1qv0,1.1,2.04197034237392
1qv1,1.1,2.12475995167485
1p5f,1.1,1.84379713869322
2aib,1.1,1.66002320514469
1s65,1.1,2.20617080838847
2avo,1.1,2.32148344294838
2avs,1.1,2.59718624777924
1uz3,1.1,2.91424183808058
2aog,1.1,1.9312341044421
2avm,1.1,2.62004400738454
1bs9,1.1,1.89328996129505
1k4o,1.1,2.62374229623726
1xvm,1.1,1.78048546142717
1f86,1.1,2.81928700310699
1qnj,1.1,1.62446201342583
1zjz,1.1,2.33855274851506
1oh0,1.1,2.36250273662794
1qj4,1.1,2.01365926881645
2fos,1.1,1.94245593542822
